,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,90,AR,1580002384,81,-54.8,-68.3,50.0,28.86
1,Vaini,90,TO,1580002425,88,-21.2,-175.2,80.6,12.75
2,Nanortalik,100,GL,1580002712,75,60.14,-45.24,23.34,16.98
3,Busselton,97,AU,1580002588,33,-33.65,115.33,84.0,5.23
4,Rikitea,0,PF,1580002622,77,-23.12,-134.97,79.11,10.22
5,Yellowknife,90,CA,1580002539,85,62.46,-114.35,10.4,6.93
6,Kaeo,5,NZ,1580002592,57,-35.1,173.78,84.0,8.99
7,Mar del Plata,0,AR,1580002762,55,-38.0,-57.56,66.2,11.41
8,Ous,100,RU,1580002762,97,60.91,61.52,1.62,3.6
9,Haines Junction,100,CA,1580002727,99,60.75,-137.51,-14.78,5.93
10,Bow Island,5,CA,1580002764,80,49.87,-111.37,35.6,6.93
11,Mataura,64,NZ,1580002764,58,-46.19,168.86,77.65,0.58
12,Antalaha,100,MG,1580002765,81,-14.9,50.28,80.38,18.25
13,East London,38,ZA,1580002498,84,-33.02,27.91,73.45,20.69
14,Nyurba,100,RU,1580002766,97,63.28,118.33,-14.87,7.81
15,Cidreira,74,BR,1580002549,68,-30.18,-50.21,75.56,14.32
16,Fuxin,0,CN,1580002767,47,42.02,121.66,22.48,1.88
17,Pandan,35,PH,1580002768,77,14.05,124.17,80.85,4.61
18,Baykit,100,RU,1580002768,85,61.67,96.37,14.97,12.57
19,Yulara,0,AU,1580002678,11,-25.24,130.99,91.4,14.99
20,Avarua,100,CK,1580002770,83,-21.21,-159.78,84.2,11.41
21,Cayenne,75,GF,1580002658,94,4.93,-52.33,75.2,2.24
22,Bluff,57,NZ,1580002771,52,-46.6,168.33,66.49,8.52
23,Kyra,0,RU,1580002723,71,49.58,111.98,7.29,2.35
24,Constitucion,0,CL,1580002511,67,-35.33,-72.42,63.21,5.7
25,Bilibino,100,RU,1580002773,89,68.05,166.44,-3.91,5.28
26,Charters Towers,100,AU,1580002773,57,-20.1,146.27,86.95,8.32
27,Samarai,79,PG,1580002774,74,-10.62,150.67,84.76,4.03
28,Terenos,0,BR,1580002775,78,-20.44,-54.86,75.2,4.7
29,Sajanan,20,TN,1580002775,81,37.06,9.24,46.4,4.7
30,Cape Town,75,ZA,1580002776,93,-33.93,18.42,60.01,9.17
31,Manavalakurichi,20,IN,1580002776,88,8.13,77.3,75.2,4.7
32,Birao,67,CF,1580002777,19,10.28,22.79,58.68,13.94
33,Amga,0,RU,1580002778,93,60.9,131.96,-30.8,1.1
34,Ribeira Grande,99,PT,1580002519,74,38.52,-28.7,54.21,5.59
35,Saint-Philippe,75,RE,1580002779,78,-21.36,55.77,73.4,9.17
36,Albany,90,US,1580002597,93,42.6,-73.97,39.99,9.17
37,Batagay-Alyta,0,RU,1580002780,54,67.8,130.41,-33.7,4.74
38,Buchanan,20,LR,1580002781,100,5.88,-10.05,77.0,1.86
39,Thinadhoo,100,MV,1580002646,80,0.53,72.93,82.31,14.03
40,Barrow,90,US,1580002488,75,71.29,-156.79,-20.2,10.29
41,Port Lincoln,32,AU,1580002783,54,-34.73,135.87,74.1,10.18
42,Zinder,0,NE,1580002783,15,13.81,8.99,60.57,15.95
43,Hilo,90,US,1580002784,57,19.73,-155.09,80.6,4.7
44,Atuona,74,PF,1580002599,77,-9.8,-139.03,80.74,13.8
45,Paraty,58,BR,1580002741,85,-23.22,-44.71,68.74,2.37
46,Puerto Ayora,75,EC,1580002503,78,-0.74,-90.35,78.8,8.05
47,Vardo,100,NO,1580002710,70,70.37,31.11,24.26,32.32
48,Madang,39,PG,1580002787,78,-5.22,145.8,84.06,10.94
49,Pevek,100,RU,1580002787,96,69.7,170.31,-9.44,0.45
50,Saint-Pierre,75,RE,1580002788,78,-21.34,55.48,73.4,9.17
51,Thompson,90,CA,1580002593,92,55.74,-97.86,15.8,4.56
52,Seguin,90,US,1580002789,100,29.57,-97.96,62.01,3.36
53,Tuktoyaktuk,90,CA,1580002537,75,69.45,-133.04,-13.0,23.04
54,Chokurdakh,100,RU,1580002493,86,70.63,147.92,-22.23,5.99
55,San Quintin,0,MX,1580002791,10,30.48,-115.95,42.01,5.99
56,Faanui,62,PF,1580002636,72,-16.48,-151.75,83.16,8.79
57,Hermanus,83,ZA,1580002588,97,-34.42,19.23,57.99,13.0
58,Santiago,47,CL,1580002534,24,-33.46,-70.65,80.6,8.05
59,Hofn,82,IS,1580002794,86,64.25,-15.21,38.97,16.04
60,Hobyo,100,SO,1580002696,81,5.35,48.53,77.79,10.33
61,Inhambane,22,MZ,1580002795,80,-23.86,35.38,77.94,9.93
62,Jamestown,90,US,1580002508,97,42.1,-79.24,36.0,3.36
63,Sungaipenuh,80,ID,1580002796,84,-2.08,101.38,74.26,1.16
64,George Town,20,MY,1580002796,78,5.41,100.34,80.6,3.36
65,Colquechaca,0,BO,1580002797,66,-18.67,-66.02,50.54,3.69
66,Dikson,100,RU,1580002686,95,73.51,80.55,-5.84,5.39
67,Bredasdorp,68,ZA,1580002798,72,-34.53,20.04,62.6,9.17
68,Grindavik,90,IS,1580002799,72,63.84,-22.43,35.6,9.17
69,Kavieng,48,PG,1580002773,72,-2.57,150.8,84.87,11.7
70,Mahebourg,40,MU,1580002800,78,-20.41,57.7,77.0,14.99
71,Narrabri,75,AU,1580002801,55,-30.32,149.78,86.0,16.11
72,Sao Joao da Barra,100,BR,1580002801,90,-21.64,-41.05,73.27,5.39
73,Leningradskiy,98,RU,1580002647,96,69.38,178.42,-12.55,4.12
74,Ulladulla,40,AU,1580002570,49,-35.35,150.47,93.2,9.17
75,Taoudenni,10,ML,1580002803,26,22.68,-3.98,67.41,4.63
76,Eureka,90,US,1580002804,87,40.8,-124.16,59.0,10.29
77,Tasiilaq,100,GL,1580002804,74,65.61,-37.64,28.4,28.86
78,Hithadhoo,100,MV,1580002588,77,-0.6,73.08,82.49,9.75
79,Newala,100,TZ,1580002806,98,-10.94,39.28,70.32,1.01
80,Tiksi,0,RU,1580002806,67,71.69,128.87,-28.1,5.19
81,Saint George,1,US,1580002807,43,37.1,-113.58,55.4,0.96
82,Bud,90,US,1580002807,91,39.45,-86.18,33.01,13.87
83,Carnarvon,13,AU,1580002599,69,-24.87,113.63,80.6,19.46
84,New Norfolk,75,AU,1580002809,56,-42.78,147.06,72.0,11.41
85,Punta Arenas,75,CL,1580002711,66,-53.15,-70.92,50.0,23.04
86,Yar-Sale,83,RU,1580002589,100,66.83,70.83,-8.99,3.53
87,Sao Marcos,0,BR,1580002810,59,-28.97,-51.07,70.0,1.97
88,Santa Fe,0,AR,1580002811,33,-31.63,-60.7,77.41,2.24
89,Vila Velha,75,BR,1580002616,94,-20.33,-40.29,71.6,4.7
90,Port Alfred,80,ZA,1580002813,98,-33.59,26.89,66.99,8.01
91,Bambous Virieux,40,MU,1580002588,78,-20.34,57.76,77.0,14.99
92,Louangphabang,5,LA,1580002814,76,19.89,102.13,55.4,2.77
93,Patan,75,NP,1580002761,100,27.67,85.33,42.8,1.66
94,Sinnamary,100,GF,1580002816,83,5.38,-52.95,79.95,18.81
95,Smithers,40,CA,1580002601,65,54.78,-127.17,41.0,6.93
96,Abha,40,SA,1580002817,87,18.22,42.51,48.2,4.7
97,Fairbanks,1,US,1580002817,74,64.84,-147.72,-9.0,6.04
98,Luis Correia,94,BR,1580002818,96,-2.88,-41.67,75.81,5.14
99,Butaritari,100,KI,1580002711,72,3.07,172.79,85.51,9.89
100,Grand Gaube,40,MU,1580002694,78,-20.01,57.66,77.0,14.99
101,Saskylakh,99,RU,1580002626,93,71.92,114.08,-20.51,16.46
